Taxa	North America	Central America	West indies	South America	Antartica	Madagascar	Afro Arabia	West Palearctic	East Palearctic	East Asian Indomalayan	Australian
Leontocebus_cruzlimai	0	0	0	1	0	0	0	0	0	0	0
Leontocebus_fuscicollis	0	0	0	1	0	0	0	0	0	0	0
Leontocebus_fuscus	0	0	0	1	0	0	0	0	0	0	0
Leontocebus_illigeri	0	0	0	1	0	0	0	0	0	0	0
Leontocebus_lagonotus	0	0	0	1	0	0	0	0	0	0	0
Leontocebus_leucogenys	0	0	0	1	0	0	0	0	0	0	0
Leontocebus_melanoleucus	0	0	0	1	0	0	0	0	0	0	0
Leontocebus_nigricollis	0	0	0	1	0	0	0	0	0	0	0
Leontocebus_nigrifrons	0	0	0	1	0	0	0	0	0	0	0
Leontocebus_tripartitus	0	0	0	1	0	0	0	0	0	0	0
Leontocebus_weddelli	0	0	0	1	0	0	0	0	0	0	0
Leontopithecus_chrysomelas	0	0	0	1	0	0	0	0	0	0	0
Leontopithecus_chrysopygus	0	0	0	1	0	0	0	0	0	0	0
Leontopithecus_rosalia	0	0	0	1	0	0	0	0	0	0	0
Mico_argentatus	0	0	0	1	0	0	0	0	0	0	0
Mico_emiliae	0	0	0	1	0	0	0	0	0	0	0
Mico_humeralifer	0	0	0	1	0	0	0	0	0	0	0
Mico_marcai	0	0	0	1	0	0	0	0	0	0	0
Mico_mauesi	0	0	0	1	0	0	0	0	0	0	0
Mico_melanurus	0	0	0	1	0	0	0	0	0	0	0
Mico_saterei	0	0	0	1	0	0	0	0	0	0	0
Oedipomidas_geoffroyi	0	1	0	1	0	0	0	0	0	0	0
Oedipomidas_leucopus	0	0	0	1	0	0	0	0	0	0	0
Oedipomidas_oedipus	0	0	0	1	0	0	0	0	0	0	0
Saguinus_bicolor	0	0	0	1	0	0	0	0	0	0	0
Saguinus_martinsi	0	0	0	1	0	0	0	0	0	0	0
Saguinus_midas	0	0	0	1	0	0	0	0	0	0	0
Saguinus_niger	0	0	0	1	0	0	0	0	0	0	0
Saguinus_ursulus	0	0	0	1	0	0	0	0	0	0	0
Tamarinus_imperator	0	0	0	1	0	0	0	0	0	0	0
Tamarinus_inustus	0	0	0	1	0	0	0	0	0	0	0
Tamarinus_labiatus	0	0	0	1	0	0	0	0	0	0	0
Tamarinus_mystax	0	0	0	1	0	0	0	0	0	0	0
Tamarinus_subgrisescens	0	0	0	1	0	0	0	0	0	0	0
Cebus_albifrons	0	0	0	1	0	0	0	0	0	0	0
Cebus_capucinus	0	1	0	1	0	0	0	0	0	0	0
Cebus_castaneus	0	0	0	1	0	0	0	0	0	0	0
Cebus_imitator	0	1	0	0	0	0	0	0	0	0	0
Cebus_kaapori	0	0	0	1	0	0	0	0	0	0	0
Cebus_olivaceus	0	0	0	1	0	0	0	0	0	0	0
Cebus_trinitatis	0	0	0	1	0	0	0	0	0	0	0
Cebus_unicolor	0	0	0	1	0	0	0	0	0	0	0
Cebus_versicolor	0	0	0	1	0	0	0	0	0	0	0
Cebus_yuracus	0	0	0	1	0	0	0	0	0	0	0
Saimiri_albigena	0	0	0	1	0	0	0	0	0	0	0
Saimiri_boliviensis	0	0	0	1	0	0	0	0	0	0	0
Saimiri_cassiquiarensis	0	0	0	1	0	0	0	0	0	0	0
Saimiri_macrodon	0	0	0	1	0	0	0	0	0	0	0
Saimiri_oerstedii	0	1	0	1	0	0	0	0	0	0	0
Saimiri_sciureus	0	0	0	1	0	0	0	0	0	0	0
Saimiri_ustus	0	0	0	1	0	0	0	0	0	0	0
Saimiri_vanzolinii	0	0	0	1	0	0	0	0	0	0	0
Sapajus_apella	0	0	0	1	0	0	0	0	0	0	0
Sapajus_cay	0	0	0	1	0	0	0	0	0	0	0
Sapajus_flavius	0	0	0	1	0	0	0	0	0	0	0
Sapajus_libidinosus	0	0	0	1	0	0	0	0	0	0	0
Sapajus_macrocephalus	0	0	0	1	0	0	0	0	0	0	0
Sapajus_nigritus	0	0	0	1	0	0	0	0	0	0	0
Sapajus_robustus	0	0	0	1	0	0	0	0	0	0	0
Sapajus_xanthosternos	0	0	0	1	0	0	0	0	0	0	0
Cacajao_amuna	0	0	0	1	0	0	0	0	0	0	0
Cacajao_ayresi	0	0	0	1	0	0	0	0	0	0	0
Cacajao_calvus	0	0	0	1	0	0	0	0	0	0	0
Cacajao_hosomi	0	0	0	1	0	0	0	0	0	0	0
Cacajao_melanocephalus	0	0	0	1	0	0	0	0	0	0	0
Cacajao_novaesi	0	0	0	1	0	0	0	0	0	0	0
Cacajao_rubicundus	0	0	0	1	0	0	0	0	0	0	0
Cacajao_ucayalii	0	0	0	1	0	0	0	0	0	0	0
Callicebus_barbarabrownae	0	0	0	1	0	0	0	0	0	0	0
Callicebus_coimbrai	0	0	0	1	0	0	0	0	0	0	0
Callicebus_melanochir	0	0	0	1	0	0	0	0	0	0	0
Callicebus_nigrifrons	0	0	0	1	0	0	0	0	0	0	0
Callicebus_personatus	0	0	0	1	0	0	0	0	0	0	0
Cheracebus_aquinoi	0	0	0	1	0	0	0	0	0	0	0
Cheracebus_lucifer	0	0	0	1	0	0	0	0	0	0	0
Cheracebus_lugens	0	0	0	1	0	0	0	0	0	0	0
Cheracebus_regulus	0	0	0	1	0	0	0	0	0	0	0
Cheracebus_torquatus	0	0	0	1	0	0	0	0	0	0	0
Chiropotes_albinasus	0	0	0	1	0	0	0	0	0	0	0
Chiropotes_chiropotes	0	0	0	1	0	0	0	0	0	0	0
Chiropotes_sagulatus	0	0	0	1	0	0	0	0	0	0	0
Chiropotes_satanas	0	0	0	1	0	0	0	0	0	0	0
Chiropotes_utahickae	0	0	0	1	0	0	0	0	0	0	0
Pithecia_albicans	0	0	0	1	0	0	0	0	0	0	0
Pithecia_chrysocephala	0	0	0	1	0	0	0	0	0	0	0
Pithecia_hirsuta	0	0	0	1	0	0	0	0	0	0	0
Pithecia_irrorata	0	0	0	1	0	0	0	0	0	0	0
Pithecia_mittermeieri	0	0	0	1	0	0	0	0	0	0	0
Pithecia_monachus	0	0	0	1	0	0	0	0	0	0	0
Pithecia_pissinattii	0	0	0	1	0	0	0	0	0	0	0
Pithecia_pithecia	0	0	0	1	0	0	0	0	0	0	0
Pithecia_vanzolinii	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_bernhardi	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_brunneus	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_caligatus	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_caquetensis	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_cinerascens	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_cupreus	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_discolor	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_donacophilus	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_dubius	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_grovesi	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_hoffmannsi	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_miltoni	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_moloch	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_ornatus	0	0	0	1	0	0	0	0	0	0	0
Plecturocebus_vieirai	0	0	0	1	0	0	0	0	0	0	0
Xenothrix_mcgregori	0	0	1	0	0	0	0	0	0	0	0
Allenopithecus	0	0	0	0	0	0	1	0	0	0	0
Allochrocebus	0	0	0	0	0	0	1	0	0	0	0
Cercocebus	0	0	0	0	0	0	1	0	0	0	0
Cercopithecus	0	0	0	0	0	0	1	0	0	0	0
Chlorocebus	0	0	0	0	0	0	1	0	0	0	0
Colobus	0	0	0	0	0	0	1	0	0	0	0
Erythrocebus	0	0	0	0	0	0	1	0	0	0	0
Lophocebus	0	0	0	0	0	0	1	0	0	0	0
Macaca	0	0	0	0	0	0	0	0	0	1	0
Mandrillus	0	0	0	0	0	0	1	0	0	0	0
Miopithecus	0	0	0	0	0	0	1	0	0	0	0
Nasalis	0	0	0	0	0	0	0	0	0	1	0
Papio	0	0	0	0	0	0	1	0	0	0	0
Piliocolobus	0	0	0	0	0	0	1	0	0	0	0
Presbytis	0	0	0	0	0	0	0	0	0	1	0
Procolobus	0	0	0	0	0	0	1	0	0	0	0
Pygathrix	0	0	0	0	0	0	0	0	0	1	0
Rhinopithecus	0	0	0	0	0	0	0	0	0	1	0
Rungwecebus	0	0	0	0	0	0	1	0	0	0	0
Semnopithecus	0	0	0	0	0	0	0	0	0	1	0
Simias	0	0	0	0	0	0	0	0	0	1	0
Theropithecus	0	0	0	0	0	0	1	0	0	0	0
Trachypithecus	0	0	0	0	0	0	0	0	0	1	0
Gorilla	0	0	0	0	0	0	1	0	0	0	0
Homo	0	0	0	0	0	0	1	0	0	0	0
Pan	0	0	0	0	0	0	1	0	0	0	0
Pongo	0	0	0	0	0	0	0	0	0	1	0
Hoolock	0	0	0	0	0	0	0	0	0	1	0
Hylobates	0	0	0	0	0	0	0	0	0	1	0
Nomascus	0	0	0	0	0	0	0	0	0	1	0
Symphalangus	0	0	0	0	0	0	0	0	0	1	0
Carlito	0	0	0	0	0	0	0	0	0	1	0
Cephalopachus	0	0	0	0	0	0	0	0	0	1	0
Tarsius	0	0	0	0	0	0	0	0	0	1	0
Microcebus	0	0	0	0	0	1	0	0	0	0	0
Daubentonia	0	0	0	0	0	1	0	0	0	0	0
Propithecus	0	0	0	0	0	1	0	0	0	0	0
Eulemur	0	0	0	0	0	1	0	0	0	0	0
Varecia	0	0	0	0	0	1	0	0	0	0	0
Lepilemur	0	0	0	0	0	1	0	0	0	0	0
Otolemur	0	0	0	0	0	0	1	0	0	0	0
Loris	0	0	0	0	0	0	0	0	0	1	0
