Epoch	Age (in Myrs)	Adjacency North America	Adjacency Central America	Adjacency West indies	Adjacency South America	Adjacency Antartica	Adjacency Madagascar	Adjacency Afro Arabia	Adjacency West Palearctic	Adjacency East Palearctic	Adjacency East Asian Indomalayan	Adjacency Australian
Recent	2.58	c(1,2,9)	c(1,2,4)	c(3)	c(2,4)	c(5)	c(6,7)	c(6,7,8,9,10)	c(7,8,9)	c(1,7,8,9,10)	c(7,9,10,11)	c(10,11)
Pliocene	5.33	c(1,2,9)	c(1,2)	c(3)	c(4)	c(5)	c(6,7)	c(6,7,8,9,10)	c(7,8,9)	c(1,7,8,9,10)	c(7,9,10,11)	c(10,11)
Miocene	23.04	c(1,2,9)	c(1,2)	c(3,4)	c(3,4)	c(5)	c(6,7)	c(6,7)	c(8,9)	c(1,8,9,10)	c(9,10,11)	c(10,11)
Chattian	27.82	c(1,2,9)	c(1,2)	c(3)	c(4)	c(5)	c(6,7)	c(6,7)	c(8,9)	c(1,8,9,10)	c(9,10,11)	c(10,11)
Rupelian	33.9	c(1,2,9)	c(1,2)	c(3)	c(4)	c(5)	c(6,7)	c(6,7)	c(8)	c(1,9,10)	c(9,10)	c(11)
Late Eocene	37.71	c(1,2,9)	c(1,2)	c(3,4)	c(3,4,5)	c(4,5)	c(6,7)	c(6,7)	c(8)	c(1,9,10)	c(9,10)	c(11)
Middle Eocene	47.8	c(1,2,9)	c(1,2)	c(3)	c(4,5)	c(4,5)	c(6,7)	c(6,7)	c(8)	c(1,9,10)	c(9,10)	c(11)
Early Eocene	56	c(1,2,8,9)	c(1,2)	0	c(4,5)	c(4,5)	c(6,7)	c(6,7)	c(1,8)	c(1,9,10)	c(9,10)	c(11)
Paleocene	66	c(1,2,8,9)	c(1,2)	0	c(4,5)	c(4,5,11)	c(6,7)	c(6,7)	c(1,8)	c(1,9,10)	c(9,10)	c(5,11)
