239	11 (North_America Central_America West_indies South_America Antartica Madagascar Afro-Arabia Occidental_Palearctic Oriental_Palearctic East-Asian_Indomalayan Australian)
Cercocebus	00000010000
Cercopithecus	00000010000
Chlorocebus	00000010000
Colobus	00000010000
Erythrocebus	00000010000
Lophocebus	00000010000
Macaca	00000000010
Mandrillus	00000010000
Miopithecus	00000010000
Nasalis	00000000010
Papio	00000010000
Piliocolobus	00000010000
Presbytis	00000000010
Procolobus	00000010000
Pygathrix	00000000010
Rhinopithecus	00000000010
Rungwecebus	00000010000
Semnopithecus	00000000010
Simias	00000000010
Theropithecus	00000010000
Trachypithecus	00000000010
Gorilla	00000010000
Pan	00000010000
Pongo	00000000010
Hoolock	00000000010
Hylobates	00000000010
Nomascus	00000000010
Symphalangus	00000000010
Carlito	00000000010
Cephalopachus	00000000010
Tarsius	00000000010
Microcebus	00000100000
Daubentonia	00000100000
Propithecus	00000100000
Eulemur	00000100000
Varecia	00000100000
Lepilemur	00000100000
Otolemur	00000010000
Loris	00000000010

