name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,12218,-201773.16,503,15,404552.31,404595.60,408279.88
step_1,12218,-201782.04,493,14,404550.09,404591.63,408203.55
step_2,12218,-201801.86,482,13,404567.71,404607.39,408139.65
step_3,12218,-201826.67,472,12,404597.34,404635.35,408095.17
step_4,12218,-201856.39,461,11,404634.78,404671.02,408051.10
step_5,12218,-201884.49,451,10,404670.99,404705.64,408013.20
step_6,12218,-201903.87,444,9,404695.74,404729.31,407986.08
step_7,12218,-201886.92,445,8,404663.84,404697.56,407961.59
